"account","add","app","backup","can","categori","data","expens","incom","manag","money","month","person","report","spend","track","use","will"
5,0,1,0,2,2,1,4,1,4,1,0,2,2,0,1,4,1
3,4,0,1,1,2,2,4,0,1,0,0,0,1,1,3,5,1
3,1,3,2,2,3,2,5,3,4,5,2,1,1,8,4,2,3
3,1,4,3,4,5,3,6,1,2,0,3,1,3,0,4,0,0
0,0,0,1,4,1,0,4,2,0,2,3,0,3,0,1,1,1
1,2,4,1,2,3,2,18,6,3,0,4,1,0,1,5,0,0
9,0,1,3,13,3,3,8,1,15,11,2,5,1,2,2,1,0
0,0,0,0,3,1,3,2,0,2,2,1,0,0,1,1,0,2
1,4,5,0,0,1,1,5,0,1,1,1,3,1,1,4,0,3
0,1,0,0,1,0,0,3,0,0,0,3,0,0,0,1,1,0
